things,places
"BUTTER,WITH SALT",410
"BUTTER,WHIPPED,WITH SALT",1919
"BUTTER OIL,ANHYDROUS",SAUTE
"CHEESE,BLUE",#1 CHINESE KITCHEN
"CHEESE,BRICK",#1 chinese restaurant
"CHEESE,BRIE",19TH HOLE
"CHEESE,CAMEMBERT",3 KINGS
"CHEESE,CARAWAY","3 MILES HOUSE, INC."
"CHEESE,CHEDDAR",3 W'S TAVERN
"CHEESE,CHESHIRE",300 SOUTH ANN STREET
"CHEESE,COLBY",438 CLUB
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",5-MILE HOUSE
"CHEESE,COTTAGE,CRMD,W/FRUIT","743 S. MONTFORD,INC."
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",A & W RESTAURANT
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",A TASTE OF CHINA
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",ABACROMBIE FINE FOODS
"CHEESE,CREAM",ABC SUSHI
"CHEESE,EDAM",ACROPOLIS RESTAURANT
"CHEESE,FETA",ADMIRAL FELL INN
"CHEESE,FONTINA",AG & HARP'S
"CHEESE,GJETOST","AIRPORT BAR & GRILL, INC."
"CHEESE,GOUDA",AKBAR RESTAURANT
"CHEESE,GRUYERE","AKDEY SUBWAY, INC."
"CHEESE,LIMBURGER",ALDO'S   RESTAURANT
"CHEESE,MONTEREY",ALE MARY'S
"CHEESE,MOZZARELLA,WHL MILK",ALEXANDER'S TAVERN
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",ALFEO'S
"CHEESE,MOZZARELLA,PART SKIM MILK",AL-HO CLUB
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",BAY ATLANTIC CLUB
"CHEESE,MUENSTER",BAY CAFE
"CHEESE,NEUFCHATEL",BEACH  BUMS CAF
"CHEESE,PARMESAN,GRATED",BECKER'S TAVERN
"CHEESE,PARMESAN,HARD",BEDROCK
"CHEESE,PORT DE SALUT",BEDROCK (KITCHEN AREA)
"CHEESE,PROVOLONE",BELAIR PUB
"CHEESE,RICOTTA,WHOLE MILK",BELT STREET PUB
"CHEESE,RICOTTA,PART SKIM MILK",BELVEDERE TOWERS CAF
"CHEESE,ROMANO","BERGER'S TAVERN, INCORPORATED"
"CHEESE,ROQUEFORT",BERMUDA BAR
"CHEESE,SWISS",BERTHA'S RESTAURANT
"CHEESE,TILSIT",BERT'S EATS & DRINKS (3103-05)
"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",BEST WESTERN TRAVEL PLAZA
"CHEESE,PAST PROCESS,PIMENTO",BIG APPLE TREE CAF
"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",BIG BAD WOLF'S HOUSE OF BARBEQUE
"CHEESE FD,COLD PK,AMERICAN",BIG KAHUNA CANTINA
"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",BIG TEE'S BAR & GRILL
"CHEESE FD,PAST PROCESS,SWISS",BILL'S 60'S & 70'S CLUB
"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",BILL'S CAFE
"CREAM,FLUID,HALF AND HALF",BILL'S LIGHTHOUSE INN
"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",BILTMORE SUITES HOTEL
"CREAM,FLUID,LT WHIPPING",BIRCHES RESTAURANT
"CREAM,FLUID,HVY WHIPPING",BIRDS OF A FEATHER
"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED","BLACKTIE SERVICE, LLP"
"CREAM,SOUR,RED FAT,CULTURED",BLACKTIE SERVICES
"CREAM,SOUR,CULTURED",BLARNEY STONE INN
EGGNOG,BLARNEY STONE PUB
"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",BLEACHERS
"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",ALLEN RESTAURANT
"MILK,FILLED,FLUID,W/LAURIC ACID OIL",ALOHA TOKYO
"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",ALONSO'S RESTAURANT & COCKTAIL LOUNGE
"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",AMBASSADOR DINNING ROOM
"CREAM SUBSTITUTE,POWDERED",AMBROSIA'S
"DESSERT TOPPING,POWDERED",AMERICAN FOOD SERVICE
"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",AMERICAN LEGION FEDERAL POST #19
"DESSERT TOPPING,PRESSURIZED",AMERICAN LEGION POST #187
"DESSERT TOPPING,SEMI SOLID,FRZ",AMERICAN LEIGON FORT MCHENRY POST #133
"SOUR CRM,IMITN,CULTURED",AMIGO'S BAR
"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",ANGELINA'S
"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",ANGELO'S RESTAURANT & CARRYOUT
"MILK,WHL,3.25% MILKFAT",ANGELS ROCK BAR
"MILK,PRODUCER,FLUID,3.7% MILKFAT",ANGLE INN
"MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A",ANNABEL LEE TAVERN
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A",ANNS AT LEXINGTON PLACE
"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A",APPLEBEE'S NEIGHBORHOOD GRILL & BAR
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",aramark at citi bank baltimore
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",ARAMARK FHC SPORTS  (MAIN KITCHEN)
"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",ARAMARK FHC SPORTS (BAR 200-201)
"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",ARAMARK FHC SPORTS (BAR 210)
"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",ARAMARK FHC SPORTS (BAR 217)
"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",ARAMARK FHC SPORTS (BAR 221)
"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",ARAMARK FHC SPORTS (BAR 232)
"MILK,LOW SODIUM,FLUID",ARAMARK FHC SPORTS (BAR 236)
"MILK,DRY,WHOLE",ARAMARK FHC SPORTS (BAR 244)
"MILK,DRY,NONFAT,REG,WO/ VIT A",ARAMARK FHC SPORTS (BAR 252-253)
"MILK,DRY,NONFAT,INST,W/ VIT A",ARAMARK/PNC
"MILK,DRY,NONFAT,CA RED",ARA-MONUMENTAL LIFE INSURANCE COMPANY
"MILK,BUTTERMILK,DRIED",ARCH SOCIAL CLUB
"MILK,CND,COND,SWTND",ARCOS
"MILK,CND,EVAP,WO/ VIT A",ARIZONA BAR & GRILL
"MILK,CND,EVAP,NONFAT",ASAHI SUSHI
"MILK,CHOC,FLUID,COMM,",asian taste
"MILK,CHOC,FLUID,COMM,RED FAT",ATWATER'S
"MILK,CHOC,FLUID,COMM,LOWFAT",AU BON PAIN
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",AUSTIN GRILL
"MILK,GOAT,FLUID",AUSTIN GRILL
"MILK,HUMAN,MATURE,FLUID",AVENUE BAR & LIQUOR
"MILK,INDIAN BUFFALO,FLUID",azteca de oro
"MILK,SHEEP,FLUID",B
"MILK SHAKES,THICK CHOC",B & J RESTAURANT
"MILK SHAKES,THICK VANILLA",B & O CAFE
"WHEY,ACID,FLUID",B G'S
"WHEY,ACID,DRIED","B.G.'S,PUB INCORPORATED"
"WHEY,SWEET,FLUID",babalu grill
"WHEY,SWEET,DRIED",BACKSTRETCH SALOON
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",BAJA BEACH CLUB  (COMBINED WITH BAR-L)
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",BALTIMORE BEVERAGE CO. LLC
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",BALTIMORE BEVERAGE CO. -STARBUCKS
