phrase,thing,t_s,t_e,place,p_s,p_e,rating
terrible omelette tomato Grand Chinese Kitchen,omelette tomato,9,25,Grand Chinese Kitchen,25,47,terrible
Kids R First Learning Center's tureen of duck liver is sucked,tureen of duck liver,31,52,Kids R First Learning Center,0,29,sucked
good hors doeuvres per stck Ai Japanese Restaurant,hors doeuvres per stck,5,28,Ai Japanese Restaurant,28,51,good
I thought the lys pilsner at Wendys was terrible, lys pilsner,13,26,Wendys,29,36,terrible
I thought the large fresh brentwood fruit punch at Eleven was sucked,large fresh brentwood fruit punch,14,48, Eleven,50,58,sucked
I thought the rock cod chioppino at Lakeshore Sport Fitness was okay,rock cod chioppino,14,33,Lakeshore Sport  Fitness,-1,24,okay
I thought the hot buttered jumbo lobster lumps at Jorge Prieto was was bomb,hot buttered jumbo lobster lumps,14,47,Jorge Prieto,50,63,was bomb
florentin Mccormick Place South Building Savor tasty,florentin,0,10,Mccormick Place  South Building  Savor,-1,38,tasty
my dutch lobster cocktail at Thai Spoon And Sushi was good,dutch lobster cocktail,3,26,Thai Spoon And Sushi,29,50,good
the omelette aux pointes dasperges I had at Neil was delicious,omelette aux pointes dasperges,4,35,Neil,44,49,delicious
fresh okra a la creole Seashell Fish Chicken not that bad,fresh okra a la creole,0,23,Seashell Fish  Chicken,-1,22,not that bad
delicious anheuser busch st louis beer per bottle Jimmy Johns Sandwich Shops,anheuser busch st louis beer per bottle,10,50,Jimmy Johns Sandwich Shops,50,77,delicious
good tournedos de boeuf a la root Wang Fu Buffet Inc,tournedos de boeuf a la root,5,34,Wang Fu Buffet Inc,34,53,good
my kassler ripple at Mcdonalds was decent,kassler ripple,3,18,Mcdonalds ,21,32,decent
the lazzaris vino at Mississippi Soul Food is delicious,lazzaris vino,4,18,Mississippi Soul Food,21,43,delicious
not that bad civet of hare Barba Yianni Grecian Taverna,civet of hare,13,27,Barba Yianni Grecian Taverna,27,56,not that bad
East Coast Pantry Chicago krabbenmayonnaise auf toast mit ei und tomate sucked,krabbenmayonnaise auf toast mit ei und tomate,26,72,East Coast Pantry Chicago,0,26,sucked
was bomb kentucky sauce lemon juice Tonys Chinese American Restaurant,kentucky sauce  lemon juice,-1,27,Tonys Chinese American Restaurant,36,70,was bomb
the pickled pork and carrots I had at Lumes Pancake House was okay,pickled pork and carrots,4,29,Lumes Pancake House,38,58,okay
